1.jpg psrn: 27.65456126885409, ssim: 0.9020690181024319
10.jpg psrn: 27.926082113750525, ssim: 0.8901471560931157
11.jpg psrn: 15.417214824780686, ssim: 0.7583508384961192
12.jpg psrn: 27.172491703119405, ssim: 0.8991431421129213
13.jpg psrn: 23.96694429712953, ssim: 0.8823568588437266
14.jpg psrn: 23.731544549605978, ssim: 0.9279004843183148
15.jpg psrn: 25.724566752839102, ssim: 0.901017254321367
16.jpg psrn: 26.348566845892275, ssim: 0.8977477800171262
17.jpg psrn: 26.088469365558474, ssim: 0.9315678684922589
18.jpg psrn: 26.651307962538947, ssim: 0.9125772820286944
19.jpg psrn: 25.341034009283003, ssim: 0.879538195503879
2.jpg psrn: 23.29581916464589, ssim: 0.8876459639114934
20.jpg psrn: 14.948765135836222, ssim: 0.8006263665012158
21.jpg psrn: 24.448666182442395, ssim: 0.9243482867114513
22.jpg psrn: 25.990500010327175, ssim: 0.8834496831719486
23.jpg psrn: 26.418675765134676, ssim: 0.9391459133485308
24.jpg psrn: 25.81001707691609, ssim: 0.9342914617531495
25.jpg psrn: 22.531182056366163, ssim: 0.8508559625242853
26.jpg psrn: 23.79770236980136, ssim: 0.9190269415809
27.jpg psrn: 22.43770485346266, ssim: 0.9062133259794262
28.jpg psrn: 25.233804586190523, ssim: 0.8820157465955534
29.jpg psrn: 26.22087383438805, ssim: 0.891356990529338
3.jpg psrn: 25.704768568069632, ssim: 0.9268908887751124
4.jpg psrn: 28.77725840866009, ssim: 0.9091803247720113
5.jpg psrn: 20.222537830616623, ssim: 0.8588191298441087
6.jpg psrn: 30.097370342198545, ssim: 0.877130966638374
7.jpg psrn: 23.83159708828552, ssim: 0.9118499550766321
8.jpg psrn: 26.282961357790956, ssim: 0.9094099652627429
9.jpg psrn: 29.85888055691086, ssim: 0.8660655475426338
Average psnr:    24.894202375220537
Average ssim:    0.8917496309947882
