1.jpg psrn: 18.178012521197214, ssim: 0.8645242813875721
10.jpg psrn: 18.530773069255492, ssim: 0.8308929816572806
100.jpg psrn: 25.226129910863307, ssim: 0.9245798535767872
11.jpg psrn: 26.069427498954628, ssim: 0.9283464567627947
12.jpg psrn: 22.608122392147752, ssim: 0.8967304806288848
13.jpg psrn: 24.68505543500891, ssim: 0.8924354728823435
14.jpg psrn: 27.10173837441345, ssim: 0.9345051266632742
15.jpg psrn: 30.52511169053841, ssim: 0.8906298382737757
16.jpg psrn: 23.408502620781743, ssim: 0.8996231235267526
17.jpg psrn: 18.319336538138717, ssim: 0.7621642291568232
18.jpg psrn: 20.716020425989093, ssim: 0.9177867258419014
19.jpg psrn: 26.850592938169868, ssim: 0.9158505978512764
2.jpg psrn: 18.991189200722093, ssim: 0.8703021812693613
20.jpg psrn: 20.44608243764494, ssim: 0.8713287461413942
21.jpg psrn: 24.765466390571042, ssim: 0.9226496609765068
22.jpg psrn: 11.530949454145013, ssim: 0.7338052431581751
23.jpg psrn: 22.456676626622052, ssim: 0.9276098953999435
24.jpg psrn: 23.01501266735951, ssim: 0.9046568639533481
25.jpg psrn: 28.11203491242969, ssim: 0.9212762278227408
26.jpg psrn: 23.82615606294371, ssim: 0.895353915879184
27.jpg psrn: 26.71738782984388, ssim: 0.9171019102865886
28.jpg psrn: 26.05587856902796, ssim: 0.9026940280445372
29.jpg psrn: 16.61624849143298, ssim: 0.7552960037195299
3.jpg psrn: 24.231014189444224, ssim: 0.9186895929734421
30.jpg psrn: 22.07707955625732, ssim: 0.8810605854285759
31.jpg psrn: 17.886289413779032, ssim: 0.8834986145212067
32.jpg psrn: 15.39295400210632, ssim: 0.7602144038050254
33.jpg psrn: 26.29272710063254, ssim: 0.9273216982210927
34.jpg psrn: 24.89936968641055, ssim: 0.9272050182436127
35.jpg psrn: 23.345784722830082, ssim: 0.9188272567210608
36.jpg psrn: 26.879026113800823, ssim: 0.8936922993610704
37.jpg psrn: 20.880787207072032, ssim: 0.8689294407006815
38.jpg psrn: 25.568419321933572, ssim: 0.9292725124285116
39.jpg psrn: 24.697743419266274, ssim: 0.8721470661649743
4.jpg psrn: 16.526244759768925, ssim: 0.8667517001807289
40.jpg psrn: 22.24718156935541, ssim: 0.915780842888477
41.jpg psrn: 20.304983133847188, ssim: 0.8387583467785266
42.jpg psrn: 26.21954699237098, ssim: 0.9318106219338573
43.jpg psrn: 24.386970994006383, ssim: 0.8663747215132616
44.jpg psrn: 28.673966606254165, ssim: 0.9438319653087799
45.jpg psrn: 15.239688984079995, ssim: 0.8430176475688063
46.jpg psrn: 16.711278217396707, ssim: 0.6814202687850527
47.jpg psrn: 30.461203223989656, ssim: 0.9525584330974725
48.jpg psrn: 22.54298553807474, ssim: 0.9032210412911822
49.jpg psrn: 28.504883242432673, ssim: 0.953428344979567
5.jpg psrn: 23.127413208651134, ssim: 0.8863618925042148
50.jpg psrn: 23.705927768656736, ssim: 0.880403052932785
51.jpg psrn: 26.094019342050387, ssim: 0.9366743365409045
52.jpg psrn: 22.703097303702027, ssim: 0.9168513834884472
53.jpg psrn: 22.021139458559006, ssim: 0.8606203537628433
54.jpg psrn: 25.285887908768867, ssim: 0.8835439460625439
55.jpg psrn: 22.894575327049118, ssim: 0.8848684115370814
56.jpg psrn: 27.53324605921526, ssim: 0.9350140872623506
57.jpg psrn: 13.85483885035773, ssim: 0.7911534627957321
58.jpg psrn: 26.453920533112758, ssim: 0.9229020217996883
59.jpg psrn: 22.86340195476312, ssim: 0.9025823448030602
6.jpg psrn: 23.90312797313009, ssim: 0.9252860706177493
60.jpg psrn: 21.01626915811711, ssim: 0.8585216343703194
61.jpg psrn: 20.906388633819432, ssim: 0.8557144068175254
62.jpg psrn: 24.400561004290303, ssim: 0.9129542019029403
63.jpg psrn: 23.996882918364907, ssim: 0.9051413813416378
64.jpg psrn: 26.252101663593493, ssim: 0.9274021357201624
65.jpg psrn: 14.995770596466993, ssim: 0.8120899959182418
66.jpg psrn: 16.830131667488278, ssim: 0.7760257127815865
67.jpg psrn: 25.980281820140256, ssim: 0.9332181876077733
68.jpg psrn: 26.89145269999888, ssim: 0.9305574433796195
69.jpg psrn: 16.516197242153236, ssim: 0.8134776897052595
7.jpg psrn: 17.335914730091478, ssim: 0.8893806787800846
70.jpg psrn: 15.626738841589965, ssim: 0.8024811146180983
71.jpg psrn: 17.53427626016774, ssim: 0.7381970809203495
72.jpg psrn: 24.54169361017823, ssim: 0.9164767092823932
73.jpg psrn: 20.950735485483914, ssim: 0.8976198438100603
74.jpg psrn: 23.019749766773366, ssim: 0.9139038751917088
75.jpg psrn: 22.952116818206328, ssim: 0.9157513109046268
76.jpg psrn: 21.603249593435674, ssim: 0.8660011876787893
77.jpg psrn: 29.19476536824447, ssim: 0.9381093256209714
78.jpg psrn: 27.033845965574702, ssim: 0.9461542463542466
79.jpg psrn: 23.22309674332059, ssim: 0.9304049835267173
8.jpg psrn: 20.331622363001358, ssim: 0.8913315875936251
80.jpg psrn: 21.43088685314904, ssim: 0.9019564798289302
81.jpg psrn: 23.922911655349814, ssim: 0.904338427558471
82.jpg psrn: 25.67815239723363, ssim: 0.9362360869492622
83.jpg psrn: 19.722451861044537, ssim: 0.8892186412615297
84.jpg psrn: 14.166878954675344, ssim: 0.829041656913727
85.jpg psrn: 17.75731431878107, ssim: 0.7864112702953728
86.jpg psrn: 24.00306846944334, ssim: 0.9114063095035311
87.jpg psrn: 25.720747755109052, ssim: 0.9342700893068111
88.jpg psrn: 27.772947735396556, ssim: 0.9189312039759866
89.jpg psrn: 27.522560341331715, ssim: 0.898958235628034
9.jpg psrn: 23.177986838212593, ssim: 0.9292878363109001
90.jpg psrn: 26.722860592877296, ssim: 0.9167882719017922
91.jpg psrn: 21.40498381407518, ssim: 0.8867468612711322
92.jpg psrn: 21.843911609333095, ssim: 0.8935008459431032
93.jpg psrn: 25.900605117154264, ssim: 0.9240353561354526
94.jpg psrn: 22.894592593443978, ssim: 0.8547107691182424
